iter	Passed	Remaining
0	56	55964
1	57	28479
2	57	19238
3	58	14679
4	65	13124
5	70	11682
6	96	13627
7	102	12682
8	103	11381
9	116	11526
10	117	10546
11	118	9740
12	119	9040
13	119	8448
14	121	7952
15	122	7530
16	125	7248
17	127	6953
18	128	6623
19	129	6326
20	130	6066
21	131	5839
22	132	5640
23	135	5513
24	141	5501
25	162	6097
26	163	5897
27	164	5709
28	165	5537
29	173	5619
30	182	5713
31	183	5554
32	185	5423
33	185	5283
34	194	5358
35	195	5226
36	196	5101
37	206	5229
38	208	5127
39	218	5237
40	219	5139
41	221	5057
42	222	4958
43	223	4858
44	226	4800
45	226	4707
46	228	4634
47	230	4576
48	235	4572
49	239	4541
50	240	4474
51	242	4423
52	243	4355
53	245	4305
54	246	4237
55	247	4170
56	248	4111
57	249	4048
58	250	3992
59	252	3949
60	252	3893
61	254	3854
62	256	3810
63	257	3759
64	257	3709
65	258	3661
66	259	3613
67	260	3570
68	261	3525
69	262	3481
70	262	3440
71	265	3419
72	266	3380
73	268	3362
74	269	3325
75	270	3290
76	271	3253
77	272	3220
78	273	3190
79	274	3159
80	275	3130
81	277	3101
82	277	3066
83	278	3040
84	280	3018
85	281	2989
86	282	2965
87	283	2941
88	284	2913
89	285	2885
90	286	2857
91	287	2834
92	288	2811
93	291	2806
94	291	2781
95	294	2776
96	297	2764
97	298	2743
98	299	2722
99	300	2701
100	301	2681
101	306	2698
102	312	2718
103	315	2717
104	316	2695
105	321	2707
106	321	2686
107	322	2664
108	323	2643
109	329	2668
110	330	2648
111	333	2644
112	336	2639
113	339	2637
114	340	2621
115	341	2606
116	346	2614
117	352	2635
118	353	2616
119	354	2597
120	354	2578
121	358	2579
122	364	2596
123	365	2578
124	368	2579
125	370	2569
126	371	2551
127	371	2533
128	377	2548
129	379	2540
130	381	2531
131	391	2572
132	392	2555
133	392	2539
134	393	2523
135	394	2507
136	395	2491
137	412	2578
138	413	2564
139	414	2548
140	415	2533
141	416	2515
142	417	2500
143	418	2485
144	421	2484
145	429	2512
146	430	2499
147	431	2486
148	432	2470
149	433	2457
150	449	2526
151	454	2533
152	455	2520
153	461	2536
154	462	2521
155	463	2506
156	465	2501
157	466	2486
158	468	2478
159	469	2464
160	474	2471
161	475	2460
162	479	2461
163	480	2447
164	481	2434
165	483	2427
166	485	2422
167	486	2408
168	488	2401
169	489	2388
170	490	2379
171	491	2365
172	492	2352
173	492	2339
174	493	2327
175	494	2315
176	495	2304
177	496	2291
178	496	2279
179	499	2274
180	500	2264
181	501	2254
182	503	2245
183	503	2234
184	504	2222
185	505	2211
186	506	2201
187	507	2189
188	507	2179
189	508	2168
190	509	2157
191	510	2146
192	510	2136
193	511	2126
194	512	2116
195	514	2112
196	515	2102
197	517	2095
198	518	2088
199	519	2079
200	520	2069
201	521	2060
202	522	2050
203	522	2040
204	523	2031
205	524	2021
206	525	2011
207	525	2002
208	526	1993
209	529	1993
210	530	1985
211	532	1979
212	533	1971
213	534	1964
214	535	1956
215	536	1947
216	537	1938
217	538	1930
218	539	1922
219	540	1915
220	541	1910
221	542	1902
222	544	1898
223	546	1893
224	548	1888
225	549	1882
226	550	1874
227	551	1866
228	552	1858
229	552	1851
230	553	1844
231	554	1837
232	556	1830
233	556	1822
234	557	1816
235	559	1811
236	560	1804
237	561	1797
238	563	1794
239	564	1788
240	566	1783
241	568	1781
242	569	1774
243	570	1767
244	571	1761
245	573	1757
246	574	1750
247	575	1744
248	576	1739
249	577	1732
250	578	1726
251	579	1720
252	580	1713
253	581	1706
254	581	1699
255	582	1693
256	583	1687
257	584	1680
258	585	1674
259	594	1692
260	595	1687
261	597	1682
262	598	1675
263	599	1670
264	600	1664
265	600	1658
266	603	1657
267	604	1651
268	608	1654
269	609	1648
270	610	1642
271	611	1636
272	616	1641
273	617	1635
274	622	1639
275	622	1634
276	624	1629
277	625	1623
278	625	1617
279	626	1611
280	628	1607
281	629	1603
282	636	1611
283	637	1606
284	638	1601
285	639	1595
286	639	1589
287	640	1583
288	641	1578
289	642	1572
290	642	1566
291	644	1561
292	644	1556
293	650	1562
294	651	1557
295	652	1551
296	653	1545
297	653	1540
298	654	1534
299	655	1528
300	656	1523
301	656	1518
302	660	1518
303	662	1516
304	664	1514
305	667	1513
306	668	1509
307	669	1504
308	670	1499
309	671	1494
310	672	1489
311	672	1483
312	673	1478
313	674	1474
314	677	1474
315	679	1470
316	686	1479
317	687	1474
318	688	1469
319	689	1464
320	702	1486
321	704	1483
322	710	1490
323	712	1486
324	717	1490
325	720	1488
326	720	1483
327	723	1481
328	723	1476
329	725	1473
330	728	1472
331	729	1467
332	729	1461
333	730	1456
334	731	1452
335	732	1447
336	733	1442
337	733	1437
338	734	1432
339	735	1428
340	736	1423
341	742	1429
342	743	1425
343	744	1420
344	745	1415
345	746	1410
346	746	1405
347	747	1400
348	748	1395
349	748	1390
350	749	1386
351	750	1381
352	751	1376
353	754	1376
354	759	1379
355	761	1378
356	762	1374
357	766	1375
358	771	1376
359	775	1378
360	776	1374
361	777	1369
362	777	1365
363	778	1360
364	779	1356
365	780	1351
366	780	1346
367	781	1342
368	782	1338
369	786	1339
370	791	1341
371	792	1337
372	793	1333
373	794	1329
374	794	1324
375	795	1320
376	796	1316
377	797	1311
378	798	1307
379	803	1310
380	804	1306
381	804	1302
382	805	1297
383	806	1293
384	807	1289
385	808	1286
386	810	1283
387	810	1278
388	811	1274
389	812	1270
390	812	1266
391	813	1262
392	818	1263
393	821	1263
394	822	1259
395	823	1255
396	824	1252
397	825	1248
398	826	1244
399	826	1240
400	827	1236
401	828	1232
402	829	1228
403	834	1231
404	835	1228
405	836	1224
406	838	1221
407	840	1219
408	841	1215
409	841	1211
410	842	1207
411	843	1203
412	844	1199
413	847	1199
414	848	1196
415	849	1192
416	850	1189
417	851	1185
418	852	1182
419	854	1179
420	854	1175
421	855	1171
422	856	1168
423	857	1164
424	857	1160
425	869	1171
426	870	1168
427	871	1164
428	872	1160
429	872	1156
430	873	1153
431	880	1158
432	881	1154
433	882	1151
434	884	1148
435	884	1144
436	885	1140
437	886	1137
438	886	1133
439	887	1129
440	888	1126
441	889	1122
442	892	1122
443	893	1118
444	894	1115
445	895	1111
446	895	1108
447	896	1104
448	897	1101
449	898	1098
450	899	1094
451	899	1091
452	901	1089
453	915	1101
454	916	1097
455	917	1094
456	918	1091
457	920	1088
458	924	1089
459	926	1087
460	928	1085
461	929	1082
462	930	1078
463	930	1075
464	931	1071
465	932	1068
466	933	1065
467	935	1063
468	936	1059
469	936	1056
470	938	1053
471	938	1050
472	939	1047
473	941	1044
474	942	1041
475	942	1037
476	943	1034
477	944	1031
478	945	1028
479	946	1025
480	946	1021
481	947	1018
482	948	1015
483	950	1013
484	951	1010
485	952	1006
486	953	1004
487	954	1001
488	955	998
489	956	996
490	957	992
491	958	989
492	959	986
493	959	983
494	960	980
495	961	976
496	962	973
497	962	970
498	966	970
499	967	967
500	968	965
501	969	961
502	970	958
503	971	955
504	971	952
505	972	949
506	973	946
507	974	943
508	975	940
509	976	937
510	976	934
511	977	931
512	980	930
513	981	927
514	982	925
515	983	922
516	984	919
517	985	916
518	985	913
519	986	910
520	987	907
521	988	904
522	990	903
523	991	900
524	991	897
525	992	894
526	993	891
527	997	891
528	998	889
529	999	886
530	1000	883
531	1001	880
532	1001	877
533	1002	874
534	1003	872
535	1004	869
536	1005	866
537	1006	864
538	1007	861
539	1007	858
540	1008	855
541	1009	853
542	1010	850
543	1011	847
544	1013	845
545	1014	843
546	1014	840
547	1015	837
548	1016	834
549	1017	832
550	1017	829
551	1019	827
552	1020	824
553	1020	821
554	1021	819
555	1022	816
556	1022	813
557	1028	814
558	1028	811
559	1029	808
560	1030	806
561	1031	803
562	1031	800
563	1032	798
564	1033	795
565	1034	792
566	1035	790
567	1036	788
568	1037	785
569	1040	784
570	1041	782
571	1043	780
572	1043	777
573	1044	775
574	1045	772
575	1046	770
576	1046	767
577	1047	764
578	1048	762
579	1049	759
580	1050	757
581	1051	754
582	1051	752
583	1052	749
584	1054	748
585	1056	746
586	1057	744
587	1058	741
588	1059	739
589	1060	736
590	1061	734
591	1061	731
592	1062	729
593	1063	726
594	1064	724
595	1065	722
596	1066	719
597	1066	717
598	1068	715
599	1069	712
600	1070	710
601	1071	708
602	1080	711
603	1082	709
604	1085	708
605	1088	707
606	1089	705
607	1090	702
608	1092	701
609	1093	698
610	1093	696
611	1094	694
612	1095	691
613	1096	689
614	1096	686
615	1097	684
616	1100	682
617	1103	681
618	1105	680
619	1106	678
620	1107	675
621	1108	673
622	1108	671
623	1109	668
624	1110	666
625	1110	663
626	1111	661
627	1114	660
628	1121	661
629	1122	659
630	1123	656
631	1124	654
632	1125	652
633	1125	650
634	1126	647
635	1127	645
636	1129	643
637	1137	645
638	1138	643
639	1139	641
640	1140	638
641	1141	636
642	1142	634
643	1142	631
644	1147	631
645	1148	629
646	1149	627
647	1151	625
648	1152	623
649	1152	620
650	1153	618
651	1154	616
652	1155	614
653	1156	611
654	1157	609
655	1163	610
656	1164	608
657	1165	605
658	1166	603
659	1167	601
660	1167	598
661	1168	596
662	1169	594
663	1170	592
664	1171	590
665	1172	588
666	1173	585
667	1175	584
668	1177	582
669	1177	580
670	1178	577
671	1179	575
672	1180	573
673	1182	572
674	1184	570
675	1187	569
676	1188	566
677	1190	565
678	1191	563
679	1191	560
680	1192	558
681	1194	556
682	1195	554
683	1195	552
684	1196	550
685	1197	548
686	1198	546
687	1204	546
688	1206	544
689	1206	542
690	1207	540
691	1208	537
692	1209	535
693	1210	533
694	1212	532
695	1213	529
696	1214	527
697	1215	525
698	1216	523
699	1217	521
700	1219	519
701	1220	518
702	1222	516
703	1222	514
704	1223	511
705	1224	509
706	1225	507
707	1225	505
708	1226	503
709	1227	501
710	1228	499
711	1228	497
712	1229	495
713	1230	493
714	1232	491
715	1233	489
716	1235	487
717	1237	485
718	1238	483
719	1239	481
720	1240	479
721	1240	477
722	1241	475
723	1242	473
724	1242	471
725	1243	469
726	1244	467
727	1245	465
728	1247	463
729	1250	462
730	1250	460
731	1251	458
732	1252	456
733	1253	454
734	1254	452
735	1255	450
736	1256	448
737	1257	446
738	1258	444
739	1261	443
740	1262	441
741	1264	439
742	1265	437
743	1266	435
744	1267	433
745	1267	431
746	1268	429
747	1269	427
748	1270	425
749	1270	423
750	1271	421
751	1272	419
752	1273	417
